代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	
300092	科新机电	1.14	10.67	0.12	10.67	10.68	61325	1334	0.09	          4.03	
300093	金刚玻璃	4.60	27.51	1.21	27.50	27.51	202091	1495	-0.07	          9.39	
300094	国联水产	1.10	16.53	0.18	16.53	16.54	134227	2975	0.00	          3.96	
300095	华伍股份	-0.18	10.80	-0.02	10.80	10.81	48708	326	0.00	          2.10	
300096	易联众	9.89	19.67	1.77	19.67	19.68	281678	2238	0.35	          6.80	
300097	智云股份	-1.53	38.69	-0.60	38.68	38.69	29609	586	0.23	          3.70	
300098	高新兴	3.12	14.85	0.45	14.85	14.86	298220	7743	0.13	          6.33	
300099	尤洛卡	0.34	20.38	0.07	20.38	20.39	42385	385	0.09	          2.97	
300100	双林股份	-3.40	35.80	-1.26	35.79	35.80	65685	1852	-0.36	          2.44	
300101	振芯科技	-1.11	22.28	-0.25	22.28	22.29	137522	861	0.27	          3.12	
300102	乾照光电	1.18	6.87	0.08	6.86	6.87	85412	824	0.14	          2.37	
300103	达刚路机	-0.33	18.18	-0.06	18.17	18.18	20434	426	0.05	          2.42	
300104	乐视网	--  	58.80	--  	--  	--  	0	0	--  	          0.00	
300105	龙源技术	-0.81	8.57	-0.07	8.56	8.57	112347	907	0.23	          2.19	
300106	西部牧业	-1.34	13.26	-0.18	13.26	13.27	70753	765	0.00	          3.37	
300107	建新股份	0.86	5.86	0.05	5.86	5.87	60619	348	0.00	          1.80	
300108	双龙股份	1.14	13.30	0.15	13.30	13.31	66209	1044	0.00	          3.02	
300109	新开源	1.11	54.55	0.60	54.55	54.56	46294	814	0.22	          5.76	
300110	华仁药业	--  	9.53	--  	--  	--  	0	0	--  	          0.00	
300111	向日葵	0.38	5.27	0.02	5.27	5.28	184631	2194	0.00	          1.66	
300112	万讯自控	0.08	13.24	0.01	13.23	13.24	55849	1147	0.45	          4.21	
300113	顺网科技	-0.94	90.50	-0.86	90.45	90.50	58632	1489	-0.46	          3.28	
300114	中航电测	1.32	35.97	0.47	35.96	35.97	14445	213	-0.30	          0.71	
300115	长盈精密	3.30	27.20	0.87	27.19	27.20	45122	929	0.18	          0.88	
300116	坚瑞消防	--  	11.45	--  	--  	--  	0	0	--  	          0.00	
300117	嘉寓股份	-2.44	13.60	-0.34	13.60	13.61	165001	1015	0.00	          5.06	
300118	东方日升	4.20	13.41	0.54	13.41	13.42	173330	4152	0.22	          3.99	
300119	瑞普生物	0.49	16.38	0.08	16.38	16.39	28074	382	0.36	          1.38	
300120	经纬电材	5.25	13.83	0.69	13.82	13.83	148530	811	-0.28	          9.54	
300121	阳谷华泰	1.24	10.59	0.13	10.59	10.60	29195	464	0.00	          2.11	
300122	智飞生物	1.16	26.20	0.30	26.19	26.20	14328	189	0.00	          0.43	
300123	太阳鸟	1.25	12.19	0.15	12.18	12.19	74081	772	0.16	          2.70	
300124	汇川技术	0.71	38.04	0.27	38.02	38.04	59951	724	0.10	          0.97	
300125	易世达	1.21	24.30	0.29	24.28	24.30	16838	251	0.41	          1.93	
300126	锐奇股份	1.47	13.09	0.19	13.09	13.10	138155	2728	0.46	          6.55	
300127	银河磁体	0.29	13.94	0.04	13.92	13.94	19822	195	0.14	          0.89	
300128	锦富新材	-0.06	15.74	-0.01	15.73	15.74	91186	888	0.57	          3.07	
300129	泰胜风能	0.28	7.11	0.02	7.10	7.11	65484	608	0.00	          1.41	
300130	新国都	2.13	33.60	0.70	33.60	33.61	205894	3235	0.29	         13.97	
300131	英唐智控	-0.17	17.76	-0.03	17.76	17.77	185159	1312	0.16	          7.20	
300132	青松股份	--  	10.04	--  	--  	--  	0	0	--  	          0.00	
300133	华策影视	0.90	23.50	0.21	23.46	23.50	57167	470	-0.04	          0.82	
300134	大富科技	2.39	20.55	0.48	20.54	20.55	187646	3943	0.19	          3.14	
300135	宝利国际	0.18	5.52	0.01	5.52	5.53	274450	4922	0.36	          3.87	
300136	信维通信	-0.14	28.22	-0.04	28.20	28.22	52595	720	0.07	          1.27	
300137	先河环保	1.46	14.55	0.21	14.54	14.55	124293	3662	0.41	          4.28	
300138	晨光生物	-1.01	17.68	-0.18	17.68	17.69	21412	260	-0.11	          1.51	
300139	晓程科技	1.16	13.12	0.15	13.11	13.12	59406	443	0.00	          2.80	
300140	启源装备	-1.41	17.50	-0.25	17.50	17.51	73336	895	0.11	          3.04	
300141	和顺电气	7.21	22.76	1.53	22.76	22.77	163733	1181	-0.39	         15.42	
300142	沃森生物	1.27	10.38	0.13	10.37	10.38	133113	1268	0.00	          1.30	
300143	星河生物	-2.93	25.20	-0.76	25.20	25.22	52332	688	0.00	          4.94	
300144	宋城演艺	-1.72	25.75	-0.45	25.74	25.75	98971	1716	0.07	          0.81	
300145	南方泵业	1.31	38.80	0.50	38.78	38.80	9255	44	0.00	          0.52	
300146	汤臣倍健	0.66	32.01	0.21	32.01	32.02	50739	1083	0.03	          1.41	
300147	香雪制药	-0.89	16.67	-0.15	16.67	16.69	68942	740	0.06	          1.05	
300148	天舟文化	5.35	23.82	1.21	23.81	23.82	299397	3333	-0.25	          8.87	
300149	量子高科	4.20	13.90	0.56	13.89	13.90	302963	6773	0.36	          8.52	
300150	世纪瑞尔	-1.69	12.79	-0.22	12.78	12.79	82931	762	-0.07	          2.32	
300151	昌红科技	0.46	15.22	0.07	15.21	15.22	93992	1339	0.00	          3.53	
300152	科融环境	1.55	7.84	0.12	7.84	7.85	191307	3669	0.38	          2.68	
300153	科泰电源	--  	18.94	--  	--  	--  	0	0	--  	          0.00	
300154	瑞凌股份	1.18	10.32	0.12	10.32	10.33	78062	973	-0.09	          2.51	
300155	安居宝	3.14	16.09	0.49	16.09	16.10	335707	3934	0.18	         12.57	
300156	神雾环保	0.88	39.95	0.35	39.93	39.95	42042	248	-0.05	          1.66	
300157	恒泰艾普	--  	9.39	--  	--  	--  	0	0	--  	          0.00	
300158	振东制药	--  	15.90	--  	--  	--  	0	0	--  	          0.00	
300159	新研股份	-0.43	13.98	-0.06	13.97	13.98	76329	937	0.14	          1.33	
300160	秀强股份	-2.50	42.90	-1.10	42.90	42.91	73639	3368	0.58	          3.94	
300161	华中数控	0.22	22.65	0.05	22.65	22.66	42183	360	0.26	          2.70	
300162	雷曼股份	--  	23.86	--  	--  	--  	0	0	--  	          0.00	
300163	先锋新材	0.56	10.77	0.06	10.76	10.77	188185	4014	0.56	          6.45	
300164	通源石油	--  	7.07	--  	--  	--  	0	0	--  	          0.00	
300165	天瑞仪器	2.12	19.30	0.40	19.30	19.31	52228	1165	0.25	          3.77	
300166	东方国信	2.62	26.26	0.67	26.26	26.27	138780	1353	0.03	          4.05	
300167	迪威视讯	-0.78	15.25	-0.12	15.25	15.26	85044	2319	0.19	          2.83	
300168	万达信息	3.96	31.50	1.20	31.50	31.51	879472	7530	0.15	          8.99	
300169	天晟新材	2.56	13.60	0.34	13.60	13.63	37548	1138	0.51	          1.88	
300170	汉得信息	1.83	15.05	0.27	15.04	15.05	346789	6980	0.46	          5.56	
300171	东富龙	0.30	20.36	0.06	20.35	20.36	115804	1518	-0.19	          3.65	
300172	中电环保	0.67	13.50	0.09	13.50	13.51	45337	575	0.00	          1.99	
300173	智慧松德	3.31	15.29	0.49	15.29	15.30	56218	1748	0.06	          1.81	
300174	元力股份	2.03	19.60	0.39	19.60	19.63	28912	563	0.46	          3.98	
300175	朗源股份	0.91	8.86	0.08	8.84	8.86	66894	1255	0.00	          1.44	
300176	鸿特精密	10.02	26.03	2.37	26.03	--  	86841	74	0.00	          8.09	
300177	中海达	2.02	14.16	0.28	14.16	14.17	110708	1349	0.00	          4.35	
300178	腾邦国际	1.52	22.73	0.34	22.72	22.73	137676	1797	0.00	          2.64	
300179	四方达	-0.28	7.14	-0.02	7.14	7.15	66842	632	0.00	          2.08	
300180	华峰超纤	3.39	12.82	0.42	12.82	12.83	43211	421	0.07	          1.44	
300181	佐力药业	2.89	9.60	0.27	9.59	9.60	121201	3894	0.00	          3.04	
300182	捷成股份	2.67	17.66	0.46	17.65	17.66	110956	3498	0.85	          1.87	
300183	东软载波	1.65	20.30	0.33	20.29	20.30	59466	1750	0.04	          2.34	
300184	力源信息	5.68	12.66	0.68	12.66	12.67	177503	1933	-0.15	          6.90	
300185	通裕重工	1.73	7.07	0.12	7.07	7.08	107401	1154	0.00	          1.51	
300187	永清环保	2.57	47.17	1.18	47.17	47.18	58329	441	0.06	          2.96	
300188	美亚柏科	3.47	32.46	1.09	32.46	32.47	290646	3629	0.06	         11.98	
300189	神农基因	-1.23	6.45	-0.08	6.45	6.46	407269	15135	0.62	          3.98	
300190	维尔利	1.98	19.09	0.37	19.08	19.09	42184	485	0.15	          1.30	
300191	潜能恒信	0.69	35.23	0.24	35.23	35.24	131706	2587	0.08	          6.36	
300192	科斯伍德	3.38	12.53	0.41	12.53	12.54	66996	1713	0.00	          3.84	
300193	佳士科技	0.30	10.14	0.03	10.14	10.15	152408	1879	0.09	          4.49	
300194	福安药业	1.73	18.21	0.31	18.21	18.22	25565	224	-0.16	          1.70	
300195	长荣股份	0.52	17.51	0.09	17.50	17.51	52113	782	-0.05	          3.03	
300196	长海股份	-1.61	33.05	-0.54	33.03	33.05	26299	503	0.21	          2.39	
300197	铁汉生态	-2.23	14.04	-0.32	14.03	14.04	105604	1111	0.14	          2.40	
300198	纳川股份	5.54	14.10	0.74	14.05	14.10	156818	1354	1.07	          4.56	
300199	翰宇药业	-0.96	18.57	-0.18	18.57	18.58	84411	1065	-0.05	          1.51	
300200	高盟新材	0.94	12.88	0.12	12.88	12.89	40873	833	0.54	          2.01	
300201	海伦哲	0.00	14.97	0.00	14.97	14.98	87453	737	0.06	          2.50	
300202	聚龙股份	1.73	25.82	0.44	25.82	25.83	74667	674	0.42	          1.78	
300203	聚光科技	-1.42	27.70	-0.40	27.70	27.71	78258	1398	0.28	          1.75	
300204	舒泰神	0.69	24.83	0.17	24.82	24.83	28641	293	0.12	          0.87	
300205	天喻信息	3.81	16.33	0.60	16.33	16.34	307520	2119	0.12	          7.24	
300206	理邦仪器	0.98	20.57	0.20	20.57	20.58	47299	321	0.09	          3.47	
300207	欣旺达	4.63	23.73	1.05	23.73	23.74	238160	2383	0.55	          5.57	
300208	恒顺众昇	0.19	15.73	0.03	15.72	15.73	99000	2193	0.19	          1.66	
300209	天泽信息	10.01	25.17	2.29	25.17	--  	111743	271	0.00	          5.50	
300210	森远股份	0.21	14.46	0.03	14.46	14.47	30588	372	0.00	          2.65	
300211	亿通科技	1.60	19.68	0.31	19.67	19.68	35488	300	0.20	          3.89	
300212	易华录	1.26	32.03	0.40	32.03	32.04	71186	478	0.09	          2.35	
300213	佳讯飞鸿	0.54	27.78	0.15	27.78	27.79	31215	293	0.32	          2.49	
300214	日科化学	1.38	8.09	0.11	8.08	8.09	82096	1953	0.00	          2.81	
300215	电科院	-0.42	11.80	-0.05	11.80	11.81	90388	1114	-0.08	          1.88	
300216	千山药机	2.79	27.60	0.75	27.60	27.62	99345	4518	0.98	          3.71	
300217	东方电热	0.00	15.16	0.00	15.16	15.17	307595	4172	-0.13	         11.19	
300218	安利股份	1.62	12.55	0.20	12.55	12.56	20789	174	0.00	          1.23	
300219	鸿利光电	1.12	10.87	0.12	10.87	10.88	90261	1443	0.27	          2.95	
300220	金运激光	--  	41.10	--  	--  	--  	0	0	--  	          0.00	
300221	银禧科技	0.53	11.35	0.06	11.34	11.35	42012	377	0.08	          1.05	
300222	科大智能	-0.69	17.24	-0.12	17.23	17.24	46827	669	0.00	          1.78	
300223	北京君正	1.51	26.30	0.39	26.30	26.31	42672	570	0.15	          4.38	
300224	正海磁材	1.03	17.73	0.18	17.72	17.73	44068	164	-0.05	          0.96	
300225	金力泰	1.52	6.66	0.10	6.66	6.67	53671	985	0.30	          1.59	
300226	上海钢联	2.59	43.14	1.09	43.14	43.15	58433	435	0.02	          4.13	
300227	光韵达	1.61	25.21	0.40	25.21	25.22	90107	921	0.19	          6.64	
300228	富瑞特装	2.37	22.06	0.51	22.06	22.07	177308	2670	0.04	          8.07	
300229	拓尔思	8.01	24.00	1.78	23.99	24.00	292290	3135	-0.04	          7.03	
300230	永利股份	-0.03	29.97	-0.01	29.38	29.97	20797	585	2.04	          1.97	
300231	银信科技	2.93	18.96	0.54	18.96	18.97	144506	1508	0.00	          5.52	
300232	洲明科技	0.36	33.24	0.12	33.23	33.24	18366	182	0.12	          1.31	
300233	金城医药	0.78	24.47	0.19	24.47	24.48	27299	127	-0.04	          1.21	
300234	开尔新材	-0.62	16.08	-0.10	16.08	16.10	23144	974	-0.24	          1.62	
300235	方直科技	--  	32.83	--  	--  	--  	0	0	--  	          0.00	
300236	上海新阳	-1.88	30.32	-0.58	30.32	30.38	30100	174	0.19	          1.99	
300237	美晨科技	6.20	9.25	0.54	9.25	9.26	142937	2038	0.43	          3.59	
300238	冠昊生物	--  	56.67	--  	--  	--  	0	0	--  	          0.00	
300239	东宝生物	4.50	14.16	0.61	14.15	14.16	45007	389	0.14	          2.37	
300240	飞力达	0.25	19.80	0.05	19.79	19.80	51433	923	0.15	          2.11	
300241	瑞丰光电	0.48	12.68	0.06	12.68	12.69	41338	1008	0.23	          2.53	
300242	明家科技	1.26	35.40	0.44	35.40	35.41	32393	119	-0.30	          2.79	
300243	瑞丰高材	2.11	16.44	0.34	16.43	16.44	47917	146	0.24	          3.59	
300244	迪安诊断	0.67	58.69	0.39	58.69	58.70	28171	372	0.66	          1.55	
300245	天玑科技	3.68	25.35	0.90	25.35	25.36	207210	2488	0.27	         12.23	
300246	宝莱特	0.62	29.08	0.18	29.07	29.08	39983	665	0.86	          3.78	
300247	乐金健康	--  	20.75	--  	--  	--  	0	0	--  	          0.00	
300248	新开普	10.01	30.98	2.82	30.98	--  	229484	370	0.00	         13.42	
300249	依米康	5.90	24.41	1.36	24.41	24.42	39317	497	0.16	          4.03	
300250	初灵信息	2.08	61.76	1.26	61.76	61.79	29031	160	0.03	          5.44	
300251	光线传媒	0.62	24.50	0.15	24.50	24.51	308909	11817	0.08	          2.52	
300252	金信诺	-0.79	26.40	-0.21	26.40	26.42	31478	510	-0.30	          1.20	
300253	卫宁健康	5.23	33.20	1.65	33.20	33.22	261485	2107	-0.15	          6.88	
300254	仟源医药	0.89	23.78	0.21	23.78	23.79	47141	1383	0.29	          4.49	
300255	常山药业	-1.64	15.64	-0.26	15.63	15.64	34609	434	-0.06	          1.05	
300256	星星科技	3.71	22.67	0.81	22.66	22.67	80852	876	0.00	          5.95	
300257	开山股份	0.00	17.03	0.00	17.03	17.04	77792	1552	-0.35	          0.96	
300258	精锻科技	0.87	13.87	0.12	13.86	13.87	22283	255	0.00	          0.89	
300259	新天科技	0.71	8.51	0.06	8.50	8.51	50026	525	0.00	          1.98	
300260	新莱应材	1.10	24.82	0.27	24.82	24.90	7619	42	-0.40	          1.61	
300261	雅本化学	-2.09	17.83	-0.38	17.83	17.84	87932	2303	-0.11	          2.38	
300262	巴安水务	1.59	15.94	0.25	15.93	15.94	63689	1209	0.12	          2.81	
300263	隆华节能	3.29	18.86	0.60	18.86	18.87	69062	1331	0.37	          2.96	
300264	佳创视讯	1.60	17.18	0.27	17.17	17.18	143381	1481	0.46	          8.40	
300265	通光线缆	1.99	11.78	0.23	11.78	11.79	40647	1437	0.25	          1.20	
300266	兴源环境	0.62	35.88	0.22	35.88	35.90	14354	135	-0.05	          0.44	
300267	尔康制药	1.23	29.70	0.36	29.70	29.71	30242	259	0.00	          0.53	
300268	万福生科	3.47	20.30	0.68	20.28	20.30	40981	1231	-0.19	          3.06	
300269	联建光电	--  	25.10	--  	--  	--  	0	0	--  	          0.00	
300270	中威电子	2.67	14.99	0.39	14.98	14.99	61548	766	-0.13	          4.26	
300271	华宇软件	-0.35	40.30	-0.14	40.29	40.30	56303	1013	-0.24	          2.54	
300272	开能环保	-1.56	18.32	-0.29	18.31	18.32	37122	426	0.27	          1.87	
300273	和佳股份	-0.40	14.94	-0.06	14.94	14.95	152422	2640	0.20	          2.97	
300274	阳光电源	-0.23	21.23	-0.05	21.23	21.24	71975	1009	0.04	          1.58	
300275	梅安森	1.70	19.75	0.33	19.72	19.75	40860	580	0.20	          3.78	
300276	三丰智能	-1.04	20.93	-0.22	20.93	20.94	81870	1177	0.09	          4.22	
300277	海联讯	0.81	31.11	0.25	31.11	31.12	21177	223	0.03	          2.18	
300278	华昌达	--  	14.68	--  	--  	--  	0	0	--  	          0.00	
300279	和晶科技	-0.96	35.23	-0.34	35.21	35.23	14191	172	0.48	          2.48	
300280	南通锻压	--  	23.70	--  	--  	--  	0	0	--  	          0.00	
300281	金明精机	1.63	13.07	0.21	13.07	13.08	42855	656	-0.07	          3.03	
300282	汇冠股份	3.67	28.82	1.02	28.80	28.82	56225	258	0.06	          3.27	
300283	温州宏丰	-0.37	10.90	-0.04	10.90	10.91	16536	127	0.27	          1.30	
300284	苏交科	0.29	17.58	0.05	17.55	17.58	41439	408	0.17	          1.27	
300285	国瓷材料	-0.47	33.94	-0.16	33.94	33.95	23754	448	0.17	          0.98	
300286	安科瑞	1.58	23.85	0.37	23.85	23.88	16527	114	0.00	          1.98	
300287	飞利信	0.57	14.07	0.08	14.07	14.08	159187	1102	0.07	          2.26	
300288	朗玛信息	1.17	39.75	0.46	39.73	39.75	34226	392	0.00	          2.02	
300289	利德曼	0.14	14.75	0.02	14.75	14.76	50480	659	0.13	          1.66	
300290	荣科科技	--  	14.60	--  	--  	--  	0	0	--  	          0.00	
300291	华录百纳	1.72	27.22	0.46	27.12	27.22	80515	1788	0.74	          1.71	
300292	吴通控股	--  	33.26	--  	--  	--  	0	0	--  	          0.00	
300293	蓝英装备	-1.54	19.23	-0.30	19.23	19.24	72429	1309	-0.05	          6.07	
300294	博雅生物	-1.15	49.72	-0.58	49.71	49.72	89187	518	0.00	          6.26	
300295	三六五网	0.61	36.10	0.22	36.10	36.12	42036	580	0.13	          2.69	
300296	利亚德	-1.10	20.70	-0.23	20.70	20.80	36803	877	-0.48	          1.00	
300297	蓝盾股份	6.93	16.98	1.10	16.98	16.99	524880	7890	0.00	          8.53	
300298	三诺生物	0.90	28.15	0.25	28.15	28.19	18865	163	-0.14	          0.98	
300299	富春通信	0.97	34.40	0.33	34.39	34.40	56524	623	0.02	          3.81	
300300	汉鼎股份	0.77	23.58	0.18	23.58	23.59	63610	993	0.00	          2.47	
300301	长方照明	-0.12	8.00	-0.01	7.99	8.00	89498	972	0.12	          3.34	
300302	同有科技	2.56	62.46	1.56	62.45	62.46	28947	330	0.04	          2.72	
300303	聚飞光电	0.37	8.24	0.03	8.24	8.25	40312	535	0.12	          1.08	
300304	云意电气	1.26	24.09	0.30	24.09	24.10	37003	647	-0.04	          1.85	
300305	裕兴股份	2.53	23.46	0.58	23.46	23.48	22364	800	0.42	          3.55	
300306	远方光电	--  	18.67	--  	--  	--  	0	0	--  	          0.00	
300307	慈星股份	2.49	12.36	0.30	12.35	12.36	131293	1870	0.56	          1.64	
300308	中际装备	1.27	15.91	0.20	15.91	15.92	44047	1141	0.37	          2.04	
300309	吉艾科技	-1.42	13.20	-0.19	13.20	13.22	89861	2521	0.30	          4.10	
300310	宜通世纪	-1.67	46.00	-0.78	46.00	46.01	35357	890	0.15	          2.65	
300311	任子行	3.45	32.40	1.08	32.39	32.40	103679	1437	0.93	          7.75	
300312	邦讯技术	1.68	30.30	0.50	30.29	30.30	90310	1724	-0.23	         10.31	
300313	天山生物	--  	17.70	--  	--  	--  	0	0	--  	          0.00	
300314	戴维医疗	-1.77	26.07	-0.47	26.07	26.08	99157	1293	-0.22	          7.62	
300315	掌趣科技	1.53	11.98	0.18	11.98	11.99	736247	8586	0.00	          4.56	
300316	晶盛机电	1.48	9.61	0.14	9.61	9.62	210297	2492	0.31	          2.59	
300317	珈伟股份	0.75	21.51	0.16	21.50	21.51	39971	951	-0.09	          2.39	
300318	博晖创新	2.76	16.40	0.44	16.40	16.41	79717	5506	0.73	          3.92	
300319	麦捷科技	0.92	23.15	0.21	23.15	23.17	20338	322	0.21	          3.05	
300320	海达股份	1.71	11.27	0.19	11.27	11.28	30403	330	-0.08	          1.29	
300321	同大股份	0.46	63.96	0.29	63.95	63.96	11497	134	0.09	          2.59	
300322	硕贝德	1.85	15.99	0.29	15.99	16.00	224580	2128	-0.06	          6.29	
300323	华灿光电	-1.31	7.55	-0.10	7.55	7.56	113428	2170	0.00	          1.68	
300324	旋极信息	--  	49.25	--  	--  	--  	0	0	--  	          0.00	
300325	德威新材	4.35	17.50	0.73	17.49	17.50	38002	125	0.11	          1.21	
300326	凯利泰	1.04	21.41	0.22	21.41	21.42	58673	914	0.04	          1.91	
300327	中颖电子	2.41	32.67	0.77	32.66	32.67	35208	655	0.18	          2.07	
300328	宜安科技	0.99	22.38	0.22	22.38	22.39	22282	666	0.08	          0.99	
300329	海伦钢琴	-1.36	26.84	-0.37	26.83	26.84	345887	4750	-0.03	         28.07	
300330	华虹计通	3.12	15.88	0.48	15.87	15.88	96457	864	-0.06	          5.76	
300331	苏大维格	--  	25.69	--  	--  	--  	0	0	--  	          0.00	
300332	天壕环境	--  	19.65	--  	--  	--  	0	0	--  	          0.00	
300333	兆日科技	4.20	28.80	1.16	28.80	28.81	370721	3397	0.00	         11.20	
300334	津膜科技	-0.45	17.86	-0.08	17.85	17.86	32368	220	0.11	          1.25	
300335	迪森股份	--  	16.82	--  	--  	--  	0	0	--  	          0.00	
300336	新文化	--  	42.00	--  	--  	--  	0	0	--  	          0.00	
300337	银邦股份	-0.16	6.08	-0.01	6.07	6.08	88188	1329	0.00	          1.25	
300338	开元仪器	-0.43	16.15	-0.07	16.14	16.15	58738	897	0.00	          4.09	
300339	润和软件	0.51	35.58	0.18	35.57	35.58	53467	1016	0.00	          2.62	
300340	科恒股份	--  	24.35	--  	--  	--  	0	0	--  	          0.00	
300341	麦迪电气	1.99	17.40	0.34	17.40	17.41	48940	531	-0.05	          2.66	
300342	天银机电	-3.80	38.48	-1.52	38.48	38.49	32629	266	0.02	          1.73	
300343	联创股份	0.40	75.88	0.30	75.85	75.88	8638	172	0.10	          1.08	
300344	太空板业	--  	13.28	--  	--  	--  	0	0	--  	          0.00	
300345	红宇新材	0.36	11.19	0.04	11.19	11.20	72160	769	0.08	          2.47	
300346	南大光电	0.84	27.61	0.23	27.60	27.61	20620	242	0.00	          1.63	
300347	泰格医药	--  	28.60	--  	--  	--  	0	0	--  	          0.00	
300348	长亮科技	1.30	50.48	0.65	50.48	50.49	31866	589	0.11	          5.38	
300349	金卡股份	--  	37.75	--  	--  	--  	0	0	--  	          0.00	
300350	华鹏飞	1.15	28.08	0.32	28.08	28.09	42587	988	-0.03	          3.76	
300351	永贵电器	3.34	29.11	0.94	29.10	29.11	176467	1428	0.03	          9.02	
300352	北信源	1.67	36.55	0.60	36.54	36.55	108414	976	-0.08	          6.65	
300353	东土科技	2.22	17.47	0.38	17.47	17.48	138460	1250	0.00	          6.91	
300354	东华测试	-0.40	24.90	-0.10	24.90	24.91	15746	214	-0.08	          2.38	
300355	蒙草抗旱	-2.29	16.22	-0.38	16.22	16.23	206041	2762	0.12	          8.40	
300356	光一科技	0.67	36.09	0.24	36.09	36.10	49174	671	0.08	          4.13	
300357	我武生物	-0.88	37.37	-0.33	37.33	37.42	17831	220	0.02	          2.57	
300358	楚天科技	2.37	26.74	0.62	26.72	26.74	41830	531	0.07	          5.25	
300359	全通教育	0.84	69.80	0.58	69.80	69.85	32657	487	0.17	          3.49	
300360	炬华科技	-0.63	28.38	-0.18	28.38	28.39	19811	172	0.07	          2.60	
300362	天翔环境	--  	57.40	--  	--  	--  	0	0	--  	          0.00	
300363	博腾股份	-0.56	19.40	-0.11	19.39	19.40	32952	146	-0.10	          2.30	
300364	中文在线	-1.01	113.24	-1.16	113.24	113.30	27893	326	0.01	          4.15	
300365	恒华科技	0.50	28.33	0.14	28.33	28.35	30610	183	0.00	          4.80	
300366	创意信息	--  	77.70	--  	--  	--  	0	0	--  	          0.00	
300367	东方网力	-3.03	67.11	-2.10	67.11	67.12	52449	576	0.01	          3.50	
300368	汇金股份	1.88	37.44	0.69	37.44	37.45	120528	1741	0.10	         15.77	
300369	绿盟科技	2.56	39.69	0.99	39.69	39.70	75706	859	0.25	          6.43	
300370	安控科技	0.53	17.05	0.09	17.05	17.06	52596	914	-0.05	          4.05	
300371	汇中股份	2.07	25.19	0.51	25.18	25.19	28148	450	0.11	          7.93	
300372	欣泰电气	1.51	13.47	0.20	13.47	13.48	40336	1167	0.22	          4.46	
300373	扬杰科技	1.29	16.51	0.21	16.50	16.51	121394	1396	-0.60	          9.56	
300374	恒通科技	-0.58	20.59	-0.12	20.59	20.60	14374	170	0.19	          2.95	
300375	鹏翎股份	0.78	18.06	0.14	18.06	18.08	18136	122	0.00	          2.49	
300376	易事特	-4.61	55.00	-2.66	55.00	55.01	117473	2214	0.00	         18.75	
300377	赢时胜	0.71	63.99	0.45	63.99	64.00	28965	364	0.14	          7.61	
300378	鼎捷软件	0.55	45.75	0.25	45.75	45.83	22249	374	0.08	          1.99	
300379	东方通	0.93	90.40	0.83	90.39	90.40	17387	213	-0.09	          2.86	
300380	安硕信息	1.79	47.26	0.83	47.26	47.27	51163	674	0.12	         10.59	
300381	溢多利	3.27	45.10	1.43	45.10	45.30	9259	119	-0.55	          3.04	
300382	斯莱克	1.29	34.58	0.44	34.57	34.58	11707	354	-0.05	          3.70	
300383	光环新网	1.25	41.27	0.51	41.27	41.28	115235	3839	-0.26	          4.45	
300384	三联虹普	0.24	54.11	0.13	54.10	54.11	22426	318	0.07	          4.52	
300385	雪浪环境	0.67	31.33	0.21	31.32	31.33	11727	189	0.03	          2.45	
300386	飞天诚信	1.72	40.22	0.68	40.20	40.22	63393	700	0.00	          8.18	
300387	富邦股份	-0.21	23.80	-0.05	23.79	23.80	20331	227	0.42	          4.97	
300388	国祯环保	0.77	23.57	0.18	23.57	23.59	35204	452	0.04	          2.48	
300389	艾比森	2.19	39.23	0.84	39.23	39.24	18322	242	0.33	          3.97	
300390	天华超净	0.51	35.70	0.18	35.68	35.70	19522	378	-0.02	          4.14	
300391	康跃科技	0.85	16.70	0.14	16.70	16.72	13079	155	0.24	          2.53	
300392	腾信股份	--  	31.90	--  	--  	--  	0	0	--  	          0.00	
300393	中来股份	-2.41	44.46	-1.10	44.44	44.46	28760	237	0.00	          7.48	
300394	天孚通信	-1.99	85.17	-1.73	85.17	85.20	17265	87	0.01	          6.50	
300395	菲利华	-1.23	32.00	-0.40	31.93	32.00	16006	319	0.25	          1.73	
300396	迪瑞医疗	2.00	38.18	0.75	38.18	38.19	13406	241	0.20	          3.13	
300397	天和防务	0.80	58.01	0.46	58.01	58.04	22835	217	-0.06	          4.43	
300398	飞凯材料	3.42	64.38	2.13	64.30	64.38	6131	192	0.29	          1.70	
300399	京天利	1.05	39.46	0.41	39.46	39.47	23020	517	0.15	          5.18	
300400	劲拓股份	0.97	27.00	0.26	27.00	27.01	30436	873	0.14	          5.35	
300401	花园生物	5.51	34.67	1.81	34.67	34.68	85378	1965	0.31	          8.96	
300402	宝色股份	1.58	17.37	0.27	17.36	17.37	35134	358	0.11	          6.00	
300403	地尔汉宇	0.08	47.15	0.04	47.15	47.26	7779	45	0.00	          1.31	
300404	博济医药	0.30	33.97	0.10	33.97	33.99	17674	271	0.20	          5.30	
300405	科隆精化	--  	29.69	--  	--  	--  	0	0	--  	          0.00	
300406	九强生物	4.21	41.80	1.69	41.79	41.80	38548	342	0.38	          3.75	
300407	凯发电气	-3.51	36.52	-1.33	36.52	36.55	24003	281	-0.16	          7.06	
300408	三环集团	0.97	32.15	0.31	32.15	32.16	39076	211	-0.09	          0.81	
