代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	
000969	安泰科技	0.63	9.62	0.06	9.62	9.63	66233	1277	0.00	          0.77	
000970	中科三环	-0.48	10.41	-0.05	10.40	10.41	155070	2925	0.00	          1.46	
000971	高升控股	4.14	29.45	1.17	29.44	29.45	67151	2758	0.40	          2.77	
000972	新中基	10.01	8.79	0.80	8.79	--  	709516	1158	0.00	          9.20	
000973	佛塑科技	--  	13.00	--  	--  	--  	0	0	--  	          0.00	
000975	银泰资源	-0.60	9.90	-0.06	9.89	9.90	111007	1273	0.10	          1.08	
000976	*ST春晖	5.04	10.01	0.48	10.00	10.01	196240	7613	0.20	          3.35	
000977	浪潮信息	1.73	22.96	0.39	22.95	22.96	193450	2506	0.00	          2.02	
000978	桂林旅游	-0.71	11.22	-0.08	11.22	11.23	45196	192	-0.08	          1.26	
000979	中弘股份	1.70	2.99	0.05	2.98	2.99	1578164	8208	0.33	          3.42	
000980	金马股份	--  	6.20	--  	--  	--  	0	0	--  	          0.00	
000981	银亿股份	--  	7.57	--  	--  	--  	0	0	--  	          0.00	
000982	中银绒业	--  	4.64	--  	--  	--  	0	0	--  	          0.00	
000983	西山煤电	-1.06	7.49	-0.08	7.48	7.49	1036723	22802	-0.13	          3.29	
000985	大庆华科	-0.78	20.34	-0.16	20.34	20.35	10831	29	0.00	          0.84	
000987	广州友谊	-1.35	20.40	-0.28	20.38	20.40	95859	885	0.24	          2.67	
000988	华工科技	1.02	15.91	0.16	15.91	15.92	462552	6128	0.12	          5.19	
000989	九 芝 堂	2.84	24.95	0.69	24.95	24.96	36387	748	0.28	          1.70	
000990	诚志股份	-2.36	17.39	-0.42	17.39	17.40	60678	1122	-0.05	          2.04	
000993	闽东电力	0.75	8.06	0.06	8.05	8.06	37687	500	0.12	          1.01	
000995	*ST皇台	--  	11.31	--  	--  	--  	0	0	--  	          0.00	
000996	中国中期	2.92	19.39	0.55	19.38	19.39	186301	2328	0.05	          8.10	
000997	新 大 陆	3.09	19.38	0.58	19.37	19.38	278843	6243	0.05	          3.03	
000998	隆平高科	-1.55	19.00	-0.30	19.00	19.01	96741	1252	0.05	          1.16	
000999	华润三九	1.84	22.17	0.40	22.16	22.17	34011	692	0.13	          0.35	
001696	宗申动力	-0.59	10.05	-0.06	10.04	10.05	303019	5042	0.09	          3.41	
001896	豫能控股	--  	9.76	--  	--  	--  	0	0	--  	          0.00	
001979	招商蛇口	-1.82	15.07	-0.28	15.07	15.08	512915	3879	0.06	          2.70	
002001	新 和 成	2.06	17.83	0.36	17.83	17.84	367284	3282	0.16	          3.42	
002002	鸿达兴业	-0.19	16.00	-0.03	15.99	16.00	106817	2664	0.18	          2.76	
002003	伟星股份	0.20	14.71	0.03	14.71	14.72	21693	230	0.13	          0.61	
002004	华邦健康	-0.59	10.12	-0.06	10.12	10.13	180647	2004	0.00	          1.43	
002005	德豪润达	0.99	6.14	0.06	6.14	6.15	254023	3753	-0.16	          2.18	
002006	精功科技	--  	14.70	--  	--  	--  	0	0	--  	          0.00	
002007	华兰生物	-0.76	46.70	-0.36	46.70	46.71	91602	767	0.08	          1.83	
002008	大族激光	-1.08	22.06	-0.24	22.06	22.07	155520	3161	0.18	          1.58	
002009	天奇股份	-0.06	15.89	-0.01	15.88	15.89	53203	860	0.06	          2.05	
002010	传化股份	-0.82	16.94	-0.14	16.93	16.94	29725	151	0.00	          0.72	
002011	盾安环境	--  	16.72	--  	--  	--  	0	0	--  	          0.00	
002012	凯恩股份	--  	8.71	--  	--  	--  	0	0	--  	          0.00	
002013	中航机电	0.15	20.03	0.03	20.02	20.03	84699	2065	0.00	          2.22	
002014	永新股份	-0.06	16.84	-0.01	16.83	16.84	35911	932	0.00	          1.11	
002015	*ST霞客	1.95	9.40	0.18	9.40	9.41	157556	1754	0.21	          7.15	
002016	世荣兆业	-1.17	9.33	-0.11	9.33	9.34	63106	1136	0.64	          0.98	
002017	东信和平	4.18	15.95	0.64	15.94	15.95	154041	1947	0.18	          4.53	
002018	华信国际	--  	44.08	--  	--  	--  	0	0	--  	          0.00	
002019	亿帆鑫富	-0.28	47.00	-0.13	47.00	47.01	167726	2014	-0.10	          8.64	
002020	京新药业	-1.62	27.98	-0.46	27.98	27.99	13803	146	0.03	          0.60	
002021	中捷资源	-0.71	8.39	-0.06	8.39	8.40	72307	1098	0.11	          1.27	
002022	科华生物	1.90	21.40	0.40	21.40	21.41	82513	800	0.14	          2.17	
002023	海特高新	3.65	15.35	0.54	15.34	15.35	170102	2232	0.06	          2.95	
002024	苏宁云商	0.26	11.40	0.03	11.39	11.40	422802	6293	0.08	          0.84	
002025	航天电器	0.86	20.99	0.18	20.99	21.00	76090	1068	0.04	          1.77	
002026	山东威达	--  	12.37	--  	--  	--  	0	0	--  	          0.00	
002027	七喜控股	-0.85	33.80	-0.29	33.79	33.80	115215	1652	0.00	          5.62	
002028	思源电气	1.02	12.85	0.13	12.85	12.86	104299	1556	0.15	          2.20	
002029	七 匹 狼	-0.70	9.91	-0.07	9.90	9.91	132774	2233	0.10	          1.76	
002030	达安基因	0.41	31.51	0.13	31.51	31.52	114104	2159	0.09	          1.79	
002031	巨轮智能	--  	13.25	--  	--  	--  	0	0	--  	          0.00	
002032	苏 泊 尔	-0.89	26.76	-0.24	26.75	26.76	18912	86	0.03	          0.40	
002033	丽江旅游	0.00	13.91	0.00	13.91	13.92	64338	343	-0.07	          1.52	
002034	美 欣 达	-0.75	34.34	-0.26	34.34	34.36	8216	82	-0.11	          1.35	
002035	华帝股份	4.40	15.89	0.67	15.88	15.89	25639	688	0.50	          0.77	
002036	汉麻产业	3.90	25.57	0.96	25.57	25.58	250328	6108	-0.03	          9.78	
